contamination_pct,target_pct,seed,threshold_95,pr_auc,roc_auc,f1,benign_fpr,attack_recall,fpr_w10,fpr_0208
2.0,2,3,0.14259392693638806,0.7319140587554258,0.9231121131915172,0.6936416184971098,0.013201320132013201,0.594059405940594,0.012578616352201259,0.014652014652014652
2.0,2,4,0.14795803576707853,0.7317592715774206,0.9097691947412564,0.7213114754098361,0.0176017601760176,0.6534653465346535,0.015723270440251572,0.02197802197802198
2.0,2,5,0.14204308316111566,0.7352910872988534,0.9059242557919158,0.7213114754098361,0.0176017601760176,0.6534653465346535,0.014150943396226415,0.02564102564102564
2.0,2,6,0.12437526136636737,0.6917695814660807,0.8953479506366478,0.6666666666666666,0.020902090209020903,0.594059405940594,0.018867924528301886,0.02564102564102564
2.0,2,7,0.13786506280303001,0.7389994701726638,0.9185265061159581,0.717391304347826,0.0187018701870187,0.6534653465346535,0.01729559748427673,0.02197802197802198
2.0,2,8,0.13233635574579244,0.6617352757372134,0.7747606443812698,0.7311827956989247,0.0187018701870187,0.6732673267326733,0.014150943396226415,0.029304029304029304
2.0,2,9,0.15876264572143556,0.6421010035170079,0.7597838991819974,0.6634146341463415,0.039603960396039604,0.6732673267326733,0.026729559748427674,0.0695970695970696
2.0,2,10,0.12130159735679669,0.677727890337937,0.8271520221329063,0.7311827956989247,0.0187018701870187,0.6732673267326733,0.015723270440251572,0.02564102564102564
2.0,2,11,0.1560995861887932,0.6885336659739116,0.8178936705551744,0.7272727272727273,0.019801980198019802,0.6732673267326733,0.01729559748427673,0.02564102564102564
2.0,2,12,0.1296429298818112,0.6895810432869799,0.8064350989554401,0.6938775510204082,0.0297029702970297,0.6732673267326733,0.01729559748427673,0.05860805860805861
2.0,2,13,0.1696397699415686,0.6873064099889115,0.8061954710322518,0.7213114754098361,0.0176017601760176,0.6534653465346535,0.018867924528301886,0.014652014652014652
2.0,2,14,0.10436034500598912,0.7432402243619428,0.9235042316112799,0.7351351351351352,0.0176017601760176,0.6732673267326733,0.012578616352201259,0.029304029304029304
2.0,2,15,0.1450032629072667,0.6742129853404865,0.7935932207082095,0.7120418848167539,0.0242024202420242,0.6732673267326733,0.015723270440251572,0.04395604395604396
2.0,2,16,0.16153727620840072,0.7433723157725234,0.9115446198085155,0.717391304347826,0.0187018701870187,0.6534653465346535,0.015723270440251572,0.02564102564102564
2.0,2,17,0.13597077503800392,0.7012587452096434,0.8000196059209881,0.6938775510204082,0.0297029702970297,0.6732673267326733,0.015723270440251572,0.06227106227106227
2.0,2,18,0.12819319218397143,0.6780222561012296,0.8337853587338933,0.7157894736842105,0.0231023102310231,0.6732673267326733,0.0220125786163522,0.02564102564102564
2.0,2,19,0.17639422491192838,0.6852690194325183,0.8319119040616934,0.7103825136612022,0.0187018701870187,0.6435643564356436,0.015723270440251572,0.02564102564102564
4.0,4,0,0.39269541501998917,0.6723491421618008,0.8325000816913375,0.631578947368421,0.0462046204620462,0.6534653465346535,0.050314465408805034,0.03663003663003663
4.0,4,1,0.17321548834443093,0.6176084390759488,0.7746299382413488,0.7010309278350515,0.027502750275027504,0.6732673267326733,0.0220125786163522,0.040293040293040296
4.0,4,2,0.2337031349539757,0.6792206607597837,0.8383273970961453,0.7096774193548387,0.020902090209020903,0.6534653465346535,0.020440251572327043,0.02197802197802198
4.0,4,3,0.13244563117623334,0.6538426706594539,0.8053567733010925,0.6732673267326733,0.036303630363036306,0.6732673267326733,0.02358490566037736,0.06593406593406594
4.0,4,4,0.3959953114390375,0.6571472233523354,0.829842390179612,0.5990783410138248,0.056105610561056105,0.6435643564356436,0.04874213836477988,0.07326007326007326
4.0,4,5,0.16376783326268204,0.673728409703568,0.780489930181137,0.6974358974358974,0.028602860286028604,0.6732673267326733,0.025157232704402517,0.03663003663003663
4.0,4,6,0.3999131977558138,0.650657476748649,0.8279907198640657,0.5963302752293578,0.05720572057205721,0.6435643564356436,0.04874213836477988,0.07692307692307693
4.0,4,7,0.19127199575304987,0.6409172818069946,0.7539565837771897,0.6514285714285715,0.0187018701870187,0.5643564356435643,0.015723270440251572,0.02564102564102564
4.0,4,8,0.1262113615870476,0.6280333975084714,0.8096047228485226,0.6666666666666666,0.03850385038503851,0.6732673267326733,0.026729559748427674,0.06593406593406594
4.0,4,9,0.13440728783607483,0.6633731752481231,0.7517127950418805,0.7272727272727273,0.019801980198019802,0.6732673267326733,0.01729559748427673,0.02564102564102564
4.0,4,10,0.4121505707502367,0.6573881192286894,0.827555032730996,0.5990783410138248,0.056105610561056105,0.6435643564356436,0.050314465408805034,0.0695970695970696
4.0,4,11,0.18153609707951554,0.6294069488133385,0.7542397804136851,0.6974358974358974,0.028602860286028604,0.6732673267326733,0.014150943396226415,0.06227106227106227
4.0,4,12,0.206399554759264,0.5475255751735703,0.7373895805422126,0.5421686746987951,0.022002200220022004,0.44554455445544555,0.020440251572327043,0.02564102564102564
4.0,4,13,0.17630211412906657,0.676325081846492,0.8986264963129975,0.6473988439306358,0.0176017601760176,0.5544554455445545,0.015723270440251572,0.02197802197802198
4.0,4,14,0.15275374799966815,0.7000329296391768,0.8315197856419305,0.7096774193548387,0.020902090209020903,0.6534653465346535,0.020440251572327043,0.02197802197802198
4.0,4,15,0.38663036376237875,0.57307354204471,0.8281541025389668,0.5507246376811594,0.0539053905390539,0.5643564356435643,0.04874213836477988,0.06593406593406594
4.0,4,16,0.16686254441738138,0.6956301498011856,0.8564628740101733,0.7096774193548387,0.020902090209020903,0.6534653465346535,0.0220125786163522,0.018315018315018316
4.0,4,17,0.37826958298683183,0.6601319804993349,0.832053502379941,0.6103286384976526,0.0517051705170517,0.6435643564356436,0.050314465408805034,0.054945054945054944
4.0,4,18,0.18145401701331138,0.678916677451368,0.7955429206286966,0.6938775510204082,0.0297029702970297,0.6732673267326733,0.025157232704402517,0.040293040293040296
4.0,4,19,0.4145085647702219,0.7017608381718523,0.8301146946377806,0.6,0.058305830583058306,0.6534653465346535,0.050314465408805034,0.07692307692307693
8.0,8,0,0.5198645919561388,0.6607389560351573,0.8234051127885066,0.6197183098591549,0.050605060506050605,0.6534653465346535,0.04245283018867924,0.0695970695970696
8.0,8,1,0.2156661629676819,0.646633329847955,0.7469420209347668,0.6387434554973822,0.0319031903190319,0.6039603960396039,0.018867924528301886,0.06227106227106227
8.0,8,2,0.39744498431682607,0.6489235991708632,0.8313999716803364,0.5909090909090909,0.0594059405940594,0.6435643564356436,0.050314465408805034,0.08058608058608059
8.0,8,3,0.20872761979699145,0.640636124815469,0.7673321787624308,0.673469387755102,0.0319031903190319,0.6534653465346535,0.018867924528301886,0.06227106227106227
8.0,8,4,0.5069066643714908,0.5977555308212253,0.8214989815813265,0.6132075471698113,0.050605060506050605,0.6435643564356436,0.04245283018867924,0.0695970695970696
8.0,8,5,0.26082964986562746,0.6714600356439822,0.7983748869936499,0.6700507614213198,0.033003300330033,0.6534653465346535,0.026729559748427674,0.047619047619047616
8.0,8,6,0.24435817822813988,0.6331299560849932,0.7980372294655207,0.6255924170616114,0.0484048404840484,0.6534653465346535,0.036163522012578615,0.07692307692307693
8.0,8,7,0.41256588548421874,0.6723530297124368,0.8260954808352122,0.6255924170616114,0.0484048404840484,0.6534653465346535,0.050314465408805034,0.04395604395604396
8.0,8,8,0.19439211189746874,0.6710699315649278,0.815954862813014,0.7120418848167539,0.0242024202420242,0.6732673267326733,0.015723270440251572,0.04395604395604396
8.0,8,9,0.19019108712673197,0.6161628051950586,0.7573331590584802,0.6243386243386243,0.0319031903190319,0.5841584158415841,0.018867924528301886,0.06227106227106227
8.0,8,10,0.49207603782415404,0.6686491773330158,0.8286878192769772,0.631578947368421,0.0462046204620462,0.6534653465346535,0.04245283018867924,0.054945054945054944
8.0,8,11,0.1924919694662096,0.6592536501230305,0.7674628849023517,0.6961325966850829,0.0187018701870187,0.6237623762376238,0.015723270440251572,0.02564102564102564
8.0,8,12,0.2001960359513768,0.6437278568186474,0.8122079534686142,0.6458333333333334,0.0319031903190319,0.6138613861386139,0.01729559748427673,0.06593406593406594
8.0,8,13,0.41618466079235095,0.483891859112168,0.748717446002026,0.42857142857142855,0.058305830583058306,0.4158415841584158,0.050314465408805034,0.07692307692307693
8.0,8,14,0.2112259298563004,0.669108569554673,0.7798690760165126,0.6875,0.027502750275027504,0.6534653465346535,0.0220125786163522,0.040293040293040296
8.0,8,15,0.41494544446468373,0.5876647872518723,0.7986907601651254,0.5377358490566038,0.0594059405940594,0.5643564356435643,0.050314465408805034,0.08058608058608059
8.0,8,16,0.34761802852153784,0.6321533729654105,0.8042675554684181,0.6346153846153846,0.045104510451045104,0.6534653465346535,0.03773584905660377,0.06227106227106227
8.0,8,17,0.41697066575288794,0.5571718878641118,0.7900096940387107,0.5192307692307693,0.058305830583058306,0.5346534653465347,0.050314465408805034,0.07692307692307693
